Stock/Index,Option,Trigger Price,Target price,Stop Loss,Message,Timestamp
BANKNIFTY,47800 PE,360,500,SL Paid,"INDEX OPTION LOVERS ❤️💖

BUY BANKNIFTY 47800 PE ABOVE 360 TRG 500-700 SL PAID

**UPDATE 1 -- 400🔥🔥
UPDATE 2 -- 435**🚀🚀

Safe traders can book rest trailing sl ✅",2024-03-12 02:55:52+00:00
MARUTI,11500 PE,160,230,SL Paid,"STOCK OPTION LOVERS ❤️💖

BUY MARUTI 11500 PE ABOVE 160 TRG 230-300 SL PAID

**UPDATE 1 -- 185🔥🔥
UPDATE 2 -- 200**🚀🚀

Safe traders can book rest trailing sl ✅",2024-03-12 02:55:52+00:00
BANKNIFTY,47800 PE,360,500,SL Paid,"INDEX OPTION LOVERS ❤️💖

BUY BANKNIFTY 47800 PE ABOVE 360 TRG 500-700 SL PAID

**UPDATE 1 -- 400**🔥🔥

Safe traders can book rest trailing sl ✅",2024-03-12 02:55:51+00:00
MIDCAPNIFTY,10950 PE,90,160,SL Paid,"HERO ZERO INDEX OPTION LOVERS ❤️💖

BUY MIDCAPNIFTY 10950 PE ABOVE 90 TRG 160-230-300 SL PAID

**UPDATE 1 -- 120**🔥🔥

Safe traders can book rest trailing sl ✅",2024-03-12 02:55:51+00:00
MARUTI,11500 PE,160,230,SL Paid,"STOCK OPTION LOVERS ❤️💖

BUY MARUTI 11500 PE ABOVE 160 TRG 230-300 SL PAID

**UPDATE 1 -- 185**🔥🔥

Safe traders can book rest trailing sl ✅",2024-03-12 02:55:50+00:00
BANKNIFTY,47900 PE,380,550,SL Paid,"INDEX OPTION LOVERS ❤️💖

BUY BANKNIFTY 47900 PE ABOVE 380 TRG 550-750 SL PAID

**UPDATE 1 -- 460**🔥🔥

Safe traders can book rest trailing sl ✅",2024-03-12 02:55:50+00:00
BANKNIFTY,47700 PE,360,500,SL Paid,"**INDEX OPTION LOVERS ❤️💖

BUY BANKNIFTY 47700 PE ABOVE 360 TRG 500-700 SL PAID**",2024-03-12 02:55:50+00:00
MIDCAPNIFTY,10950 PE,90,160,SL Paid,"**HERO ZERO INDEX OPTION LOVERS ❤️💖

BUY MIDCAPNIFTY 10950 PE ABOVE 90 TRG 160-230-300 SL PAID**",2024-03-12 02:55:50+00:00
MARUTI,11500 PE,160,230,SL Paid,"**STOCK OPTION LOVERS ❤️💖

BUY MARUTI 11500 PE ABOVE 160 TRG 230-300 SL PAID**",2024-03-12 02:55:50+00:00
BANKNIFTY,47900 PE,380,550,SL Paid,"**INDEX OPTION LOVERS ❤️💖

BUY BANKNIFTY 47900 PE ABOVE 380 TRG 550-750 SL PAID**",2024-03-12 02:55:50+00:00
